article_transformed,views_ceil,rank
Salman_Khan,5100,207
Sarpatta_Parambarai,5100,207
Shah_Rukh_Khan,5100,207
Suresh Bhat,5100,207
Charuhasan,5100,207
Mughal_Empire,5100,207
Nora_Fatehi,5100,207
Pashtuns,5000,214
United_Arab_Emirates,5000,214
Muhammad_Ali,5000,214
Abdullah_Abdullah,5000,214
List_of_World_Heritage_Sites_in_India,5000,214
China,5000,214
List_of_active_Indian_military_aircraft,5000,214
Kuruthi,5000,214
Paul_Buchheit,4900,222
West_Bengal,4900,222
Mumbai,4900,222
XXX:_State_of_the_Union,4900,222
Divya_Agarwal,4900,222
Rula_Ghani,4900,222
United_Nations,4900,222
Periodic_table,4900,222
Mohabbatein,4900,222
Third_Battle_of_Panipat,4800,231
Flag_of_India,4800,231
Microsoft_Windows,4800,231
Ranchordas_Pagi,4800,231
Yvonne_Ridley,4800,231
Hindu_Kush,4800,231
Welfare_state,4800,231
Sanjay_Kumar_(soldier),4800,231
Sana_Khan,4800,231
Russia,4800,231
Multimedia,4800,231
സഹ്യന്റെ_മകൻ,4800,231
Buddhas_of_Bamiyan,4800,231
E-commerce,4800,231
F9_(film),4800,231
Netflix,4700,246
State_Bank_of_India,4700,246
Bhagat_Singh,4700,246
India_at_the_2020_Summer_Olympics,4700,246
Fundamental_rights_in_India,4700,246
Taj_Mahal,4700,246
Shivaji,4700,246
Lok_Sabha,4700,246
List_of_current_Indian_chief_ministers,4700,246
Imran_Khan,4700,246
Skathi_(moon),4700,246
Vietnam_War,4700,246
Kareena_Kapoor,4700,246
Third Battle of Panipat,4700,246
Hinduism_in_Afghanistan,4600,260
Bheemla_Nayak,4600,260
"Hindu Widows' Remarriage Act, 1856",4600,260
Vijay_(actor),4600,260
"Facebook,_Inc.",4600,260
Tajikistan,4600,260
Bharatiya_Janata_Party,4500,266
Abdul_Ali_Mazari,4500,266
Saddam_Hussein,4500,266
Kandahar,4500,266
List_of_amendments_of_the_Constitution_of_India,4500,266
Rabindranath_Tagore,4500,266
Jyotirlinga,4500,266
Video_on_demand,4500,266
Varalakshmi_Vratam,4400,274
Neha_Bhasin,4400,274
Sonam_Kapoor,4400,274
President_of_India,4400,274
Akbar,4400,274
Harshad_Mehta,4400,274
Facebook,4300,280
Borders_of_India,4300,280
List_of_sitting_judges_of_the_Supreme_Court_of_India,4300,280
Border_(1997_film),4300,280
Patriarchy,4300,280
Bharat_Ratna,4300,280
Gujarat,4300,280
MS_Dhoni,4300,280
Union_List,4200,288
Shiv_Panditt,4200,288
Boeing_C-17_Globemaster_III,4200,288
AFC_Cup,4200,288
Chehre,4200,288
Sachin_Tendulkar,4200,288
Shruti_Haasan,4200,288
Aligarh,4200,288
Iran,4200,288
National_Defence_Academy_(India),4200,288
Émile Durkheim,4100,298
Jammu_and_Kashmir_(union_territory),4100,298
Scarlett_Johansson,4100,298
Yashwant Manohar,4100,298
Sushmita_Banerjee,4100,298
Bhuj_Airport,4100,298
Akshara_Singh,4100,298
Samantha_Akkineni,4000,305
List_of_Taliban_leaders,4000,305
Sean_Lock,4000,305
United_Kingdom,4000,305
Olympic_Games,4000,305
Jammu_and_Kashmir_Rifles,4000,305
Money_Heist,3900,311
Kylie_Jenner,3900,311
Paris_Saint-Germain_F.C.,3900,311
Alia_Bhatt,3900,311
Demographics_of_Afghanistan,3900,311
Delhi,3900,311
Google_Meet,3900,311
Islam_by_country,3900,311
List of chemical elements,3800,319
Amitabh_Bachchan,3800,319
Chief_Justice_of_India,3800,319
List_of_most-followed_Instagram_accounts,3800,319
K.G.F:_Chapter_2,3800,319
United_States_invasion_of_Afghanistan,3800,319
Mani_Ratnam,3800,319
Krishna,3800,319
Albert_Einstein,3800,319
Uzbekistan,3800,319
2008_Mumbai_attacks,3800,319
World_War_II,3800,319
Foreign_direct_investment_in_India,3800,319
2021–22_Indian_Super_League_season,3800,319
2021–2023_ICC_World_Test_Championship,3800,319
Paagal,3800,319
William_Shakespeare,3800,319
Mark_Zuckerberg,3800,319
HDFC_Bank,3800,319
Entertainment,3800,319
Gunjan_Saxena,3800,319
Vijay_Karnik,3800,319
Greater_Khorasan,3700,341
Afghan_National_Army,3700,341
Minister_of_Railways_(India),3700,341
List_of_designated_terrorist_groups,3700,341
Tehrik-i-Taliban_Pakistan,3700,341
Government_of_India,3700,341
Atal_Bihari_Vajpayee,3700,341
Godzilla_vs._Kong,3700,341
Ratan_Tata,3700,341
List_of_Hindi_film_families,3700,341
Rajya_Sabha,3700,341
Sundar_Pichai,3700,341
Odisha,3700,341
Gautama_Buddha,3700,341
Atmosphere of Earth,3700,341
Treatment_of_women_by_the_Taliban,3700,341
Mass_media,3700,341
Mia_Khalifa,3700,341
Pranitha_Subhash,3700,341
Aishwarya_Rai_Bachchan,3700,341
Taliban_insurgency,3700,341
Ahmad_Shah_Durrani,3700,341
Deutsche_Welle,3700,341
India_at_the_2021_World_Athletics_U20_Championships,3600,364
Riteish_Deshmukh,3600,364
List_of_countries_by_foreign-exchange_reserves,3600,364
Shataf_Figar,3600,364
India_at_the_2020_Summer_Paralympics,3600,364
Streaming_media,3600,364
Aurangzeb,3600,364
Rani_of_Jhansi,3600,364
Ladakh,3600,364
Prime_Minister_of_India,3600,364
Sarika,3600,364
Indira Sant,3600,364
List_of_presidents_of_India,3600,364
Indian_Rebellion_of_1857,3600,364
Shahu of Kolhapur,3600,364
List_of_national_parks_of_India,3500,379
Mariam_Ghani,3500,379
Second_Modi_ministry,3500,379
ICICI_Bank,3500,379
Vaani_Kapoor,3500,379
Indian_independence_movement,3500,379
Pushpa,3500,379
Ayyappanum_Koshiyum,3500,379
Mary_Kom,3500,379
Karan_Nath,3500,379
Hazaras,3500,379
Saikhom_Mirabai_Chanu,3500,379
Ayman_al-Zawahiri,3500,379
List_of_countries_by_GDP_(nominal),3500,379
Haqqani_network,3500,379
Mahesh_Babu,3500,379
World_War_I,3500,379
Taarak_Mehta_Ka_Ooltah_Chashmah,3500,379
Al_Jazeera,3500,379
List_of_highest-grossing_Indian_films,3500,379
Joe_Biden,3400,399
Swami_Vivekananda,3400,399
हैदराबाद_मुक्तिसंग्राम,3400,399
शतपत्रे,3400,399
Andaman_and_Nicobar_Islands,3400,399
Mahatma Gandhi,3400,399
Vanitha_Vijayakumar,3400,399
Hyderabad_State_Congress,3400,399
Gulbuddin_Hekmatyar,3400,399
Mohammed_Zahir_Shah,3400,399
Hello!_(magazine),3400,399
Uttarakhand,3400,399
"Sexy,_Sexy_Lover",3400,399
Computer,3300,412
Ashok_Kumar,3300,412
Arya_(actor),3300,412
Battle_of_Palkhed,3300,412
Prithviraj_Sukumaran,3300,412
Priyanka_Chopra,3300,412
LinkedIn,3300,412
Business_cycle,3300,412
Allu_Arjun,3300,412
Chut,3300,412
Saudi_Arabia,3300,412
Population growth,3300,412
Vinesh_Phogat,3300,412
2021_World_Junior_Wrestling_Championships,3300,412
Islam_in_India,3300,412
Ajit_Doval,3300,412
V_(singer),3300,412
History_of_India,3300,412
Ahilyabai_Holkar,3300,412
Turkey,3300,412
Dark_web,3300,412
Economy_of_Afghanistan,3300,412
Greater Khorasan,3300,412
The_Kissing_Booth_3,3300,412
A._R._Rahman,3300,412
Death_of_Subhas_Chandra_Bose,3300,412
Constituent_Assembly_of_India,3300,412
Zoho_Corporation,3300,412
Yeh_Rishta_Kya_Kehlata_Hai,3200,440
Afghanistan–India_relations,3200,440
Tata_Group,3200,440
Indus_Valley_Civilisation,3200,440
Uri:_The_Surgical_Strike,3200,440
Indian_Railway_Catering_and_Tourism_Corporation,3200,440
Canada,3200,440
Tata_Consultancy_Services,3200,440
Husayn ibn Ali,3200,440
Fear_Factor:_Khatron_Ke_Khiladi_10,3200,440
Satyashodhak Samaj,3200,440
History of Afghanistan,3200,440
Hinduism,3200,440
Sunny_Kaushal,3200,440
Help:IPA/English,3200,440
The_Conjuring:_The_Devil_Made_Me_Do_It,3200,440
Genghis_Khan,3200,440
The_Empire_(TV_series),3200,440
Bangladesh,3200,440
N._V._Ramana,3200,440
Mukesh_Ambani,3200,440
Sahil_Vaid,3200,440
Mission_Majnu,3200,440
List_of_equipment_of_the_Indian_Army,3200,440
Saina_Nehwal,3100,464
Qatar,3100,464
Deepika_Padukone,3100,464
Sara_Ali_Khan,3100,464
List_of_political_parties_in_India,3100,464
Rashtriya_Swayamsevak_Sangh,3100,464
Indus Valley Civilisation,3100,464
Razakars_(Hyderabad),3100,464
Fahadh_Faasil,3100,464
Capital (economics),3100,464
Parliament_of_India,3100,464
Operating_system,3100,464
Sanjay_Dutt,3100,464
Vijay_Deverakonda,3100,464
Burj_Khalifa,3100,464
Vignesh_Shivan,3100,464
Telegram_(software),3100,464
Syria,3100,464
List_of_Ramsar_sites_in_India,3100,464
Akshara_Haasan,3100,464
John_Cena,3100,464
United Nations,3100,464
Kriti_Sanon,3100,464
Akshay_Kumar_filmography,3100,464
List_of_South_Indian_film_families,3100,464
Iraq,3000,489
Sher_Mohammad_Abbas_Stanikzai,3000,489
Meghalaya,3000,489
Ali,3000,489
Goa,3000,489
Guru_Tegh_Bahadur,3000,489
Naga_Chaitanya,3000,489
Bihar,3000,489
Nirmala_Sitharaman,3000,489
Accenture,3000,489
Maldives,3000,489
Microsoft,3000,489
Shiva,3000,489
Tughlaq_(play),3000,489
Rajiv_Gandhi,3000,489
Anuj_Nayyar,3000,489
CoWIN,3000,489
Karan_Johar,3000,489
Bangalore,3000,489
Instructional materials,3000,489
RRR_(film),3000,489
Radhe_(2021_film),3000,489
The_Family_Man_(Indian_TV_series),3000,489
List_of_presidents_of_the_Indian_National_Congress,3000,489
List_of_states_and_union_territories_of_India_by_area,3000,489
Geeta_Phogat,3000,489
Bhagya_Lakshmi,3000,489
Ola_Cabs,3000,489
Sangeeta_Bijlani,2900,517
BBC,2900,517
Minister_of_Home_Affairs_(India),2900,517
Supreme_Court_of_India,2900,517
Salary_of_the_government_officials_in_India,2900,517
Thittam_Irandu,2900,517
Adolf_Hitler,2900,517
British_Raj,2900,517
Reliance_Industries,2900,517
Beckett_(film),2900,517
Haryana,2900,517
Kuch_Rang_Pyar_Ke_Aise_Bhi,2900,517
Rohit_Sharma,2900,517
Nikitin_Dheer,2900,517
Gautami,2900,517
Aamir_Khan,2900,517
Ponniyin_Selvan_(2022_film),2900,517
"National_Rural_Employment_Guarantee_Act,_2005",2900,517
Global_warming,2900,517
Abdul_Ghaffar_Khan,2900,517
Ajay_Devgn,2900,517
Shilpa_Shetty,2900,517
Mammootty,2900,517
Vietnam,2900,517
India_national_cricket_team,2900,517
Jan_Koum,2900,517
Madhavrao_I,2900,517
Anita_Bose_Pfaff,2900,517
Indo-Pakistani_War_of_1965,2900,517
Star_India,2900,517
Union_territory,2900,517
Jana Gana Mana,2900,517
Vani_Ganapathy,2900,517
Stephen_Hawking,2900,517
Amay_Khurasiya,2900,517
Aishwarya_Rajesh,2900,517
Ridhima_Pandit,2800,553
States and union territories of India,2800,553
NITI_Aayog,2800,553
Apple_Inc.,2800,553
Vallabhbhai_Patel,2800,553
Kangana_Ranaut,2800,553
Reserve_Bank_of_India,2800,553
List_of_cities_in_India_by_population,2800,553
Chhattisgarh,2800,553
Indian_Military_Academy,2800,553
Japan,2800,553
English_language,2800,553
Urban_area,2800,553
MacOS,2800,553
Democratic_Republic_of_Afghanistan,2800,553
The_Good_Doctor_(TV_series),2800,553
New_Delhi,2800,553
Indian_Navy,2800,553
Lovlina_Borgohain,2800,553
Neymar,2800,553
Gurian_Republic,2800,553
Lakshya_(2004_film),2800,553
Wipro,2800,553
August_18,2800,553
List of Indian scientists,2800,553
Telangana,2800,553
Peshwa,2800,553
Truss,2800,553
Hungama_2,2800,553
"Tesla,_Inc.",2800,553
Jahangir,2800,553
Mohammed_Daoud_Khan,2800,553
List_of_unusual_deaths,2800,553
"Cambridge,_Massachusetts",2800,553
Brian_Acton,2800,553
Zayn_Malik,2800,553
Sushant_Singh_Rajput,2800,553
Mujahideen,2800,553
Blind_(2011_film),2800,553
Kolkata,2800,553
Elizabeth_II,2800,553
Dhanush,2800,553
Wikipedia:Contents/Portals,2800,553
G.I._Joe_(film_series),2800,553
Battle of Karbala,2700,597
Five-Year Plans of India,2700,597
Islam,2700,597
Garena_Free_Fire,2700,597
Statue_of_Unity,2700,597
Bajrang_Punia,2700,597
Dashavatara,2700,597
Phogat_sisters,2700,597
सागरी_विमा,2700,597
Pinterest,2700,597
Sooryavanshi,2700,597
Provinces_of_Afghanistan,2700,597
Balance sheet,2700,597
Assam,2700,597
Language_planning,2700,597
Research_and_Analysis_Wing,2700,597
Early childhood education,2700,597
East_India_Company,2700,597
Milkha_Singh,2700,597
Vijay_Sethupathi,2700,597
Jeff_Bezos,2700,597
Languages_of_India,2700,597
List_of_current_Indian_governors,2700,597
Saeed_Jaffrey,2700,597
Sushmita_Dev,2700,597
World War I,2700,597
Aavishkar_Salvi,2700,597
Abbas_ibn_Ali,2700,597
Neha_Kakkar,2700,597
Ranbir_Kapoor,2700,597
Ghum_Hai_Kisikey_Pyaar_Meiin,2700,597
ATK_Mohun_Bagan_FC,2700,597
Religion_in_Afghanistan,2700,597
Yami_Gautam,2600,630
Alauddin_Khalji,2600,630
Superman_&_Lois,2600,630
Union territory,2600,630
Religion_in_India,2600,630
Yazid_I,2600,630
Sikkim,2600,630
Vishwaroopam,2600,630
Zomato,2600,630
Python_(programming_language),2600,630
Urfi_Javed,2600,630
Sam_Manekshaw,2600,630
Ridhi_Dogra,2600,630
Sher_Shah_Suri,2600,630
Srinivasa_Ramanujan,2600,630
Sai_Pallavi,2600,630
BYJU'S,2600,630
New_Zealand,2600,630
Mahabharata,2600,630
Katrina_Kaif_filmography,2600,630
Nelson_Mandela,2600,630
Lashkar-e-Taiba,2600,630
Civil_Services_Examination_(India),2600,630
Black_Widow_(2021_film),2600,630
Bismillah_Khan_Mohammadi,2600,630
Bhai_Mati_Das,2600,630
N._T._Rama_Rao_Jr.,2600,630
Michael_Jackson,2600,630
Hrithik_Roshan,2600,630
Dulquer_Salmaan,2600,630
Nagarjuna_(actor),2600,630
Indian_Administrative_Service,2600,630
Deoband,2600,630
Delhi_Sultanate,2600,630
Microsoft_Teams,2600,630
Indo-Pakistani_wars_and_conflicts,2600,630
List_of_renamed_places_in_India,2600,630
Martin_Ødegaard,2600,630
Fatana_Najib,2600,630
Mahindra_&_Mahindra,2600,630
Pawan_Kalyan,2600,630
Castlemaine_XXXX,2600,630
