article_transformed,views_ceil,rank
Taliban,15200,1
Afghanistan,14900,2
Kanavan_laidalla,5400,3
Sean_Lock,4700,4
Pink salmon,4600,5
Saint Helena,4600,5
Juha_Kärkkäinen,4000,7
Sharia,3400,8
Tomorrow Never Dies,2600,9
War in Afghanistan (2001–2021),1900,10
Martti Katajisto,1900,10
Boletus edulis,1900,10
Finland,1800,13
The Matrix,1800,13
Paul_Jonathan_Mason,1600,15
Hibatullah Akhundzada,1500,16
Soviet–Afghan War,1500,16
Ujuni_Ahmed,1500,16
8-pallo,1500,16
