article_transformed,views_ceil,rank
Afghanistan,15700,1
Taliban,11100,2
Army Reconnaissance Detachment 10,3400,3
Sean_Lock,2900,4
Sharia,2800,5
Switzerland,1800,6
Only the Brave (2017 film),1500,7
