article_transformed,views_ceil,rank
Afghanistan,15300,1
Taliban,10000,2
Sharia,1900,3
Edward Iordănescu,1800,4
Islamic_Emirate_of_Afghanistan,1700,5
Dan Vîlceanu,1600,6
Romania,1500,7
Sean_Lock,1500,7
Wedding anniversary,1500,7
War in Afghanistan (2001–2021),1300,10
