article_transformed,views_ceil,rank
Sean_Lock,34800,1
Taliban,5600,2
Christy_Moore,5300,3
Afghanistan,4500,4
"House_of_Prayer,_Achill",2100,5
Thank_You/en,1800,6
Declan_Sinnott,1700,7
The_White_Lotus,1600,8
8_Out_of_10_Cats_Does_Countdown,1500,9
Islamic_Emirate_of_Afghanistan,1500,9
Bill_Murray,1400,11
Scarlett_Johansson,1400,11
