country_code,rank,views_ceil,views_ceil_per_day
TL,197.0,229000.0,7387
AG,198.0,226000.0,7290
GQ,199.0,218000.0,7032
GD,200.0,199000.0,6419
GL,201.0,177000.0,5709
VC,202.0,159000.0,5129
MP,203.0,153000.0,4935
KN,204.0,151000.0,4870
SX,205.0,140000.0,4516
TC,206.0,139000.0,4483
KM,207.0,136000.0,4387
VU,208.0,131000.0,4225
YT,209.0,123000.0,3967
DM,210.0,111000.0,3580
SB,211.0,97000.0,3129
CF,212.0,93000.0,3000
AI,213.0,91000.0,2935
GW,214.0,90000.0,2903
WS,215.0,85000.0,2741
BQ,216.0,82000.0,2645
VG,217.0,75000.0,2419
BL,218.0,63000.0,2032
MF,219.0,63000.0,2032
TO,220.0,54000.0,1741
FK,221.0,53000.0,1709
ST,222.0,51000.0,1645
CK,223.0,47000.0,1516
VA,224.0,46000.0,1483
PM,225.0,44000.0,1419
PW,226.0,44000.0,1419
AS,227.0,40000.0,1290
FM,228.0,32000.0,1032
MH,229.0,25000.0,806
KI,230.0,24000.0,774
NR,231.0,14000.0,451
WF,232.0,10000.0,322
IO,233.0,6000.0,193
MS,234.0,6000.0,193
TV,235.0,5000.0,161
NF,236.0,5000.0,161
AQ,237.0,5000.0,161
NU,238.0,3000.0,96
BV,239.0,2000.0,64
TK,240.0,2000.0,64
KP,241.0,1000.0,32
SH,242.0,1000.0,32
EH,243.0,1000.0,32
CX,244.0,1000.0,32
CC,245.0,1000.0,32
SJ,246.0,1000.0,32
GS,247.0,1000.0,32
