,lang_code,lang_url,main_page
99,tl,https://tl.wikipedia.org/wiki/,Unang_Pahina
100,wuu,https://wuu.wikipedia.org/wiki/,封面
101,sco,https://sco.wikipedia.org/wiki/,Main_Page
102,an,https://an.wikipedia.org/wiki/,Portalada
103,diq,https://diq.wikipedia.org/wiki/,Pela_Seri
104,pa,https://pa.wikipedia.org/wiki/,ਮੁੱਖ_ਸਫ਼ਾ
105,ckb,https://ckb.wikipedia.org/wiki/,دەستپێک
106,yo,https://yo.wikipedia.org/wiki/,Ojúewé_Àkọ́kọ́
107,ne,https://ne.wikipedia.org/wiki/,मुख्य_पृष्ठ
108,bar,https://bar.wikipedia.org/wiki/,Wikipedia:Hoamseitn
109,io,https://io.wikipedia.org/wiki/,Frontispico
110,gu,https://gu.wikipedia.org/wiki/,મુખપૃષ્ઠ
111,als,https://als.wikipedia.org/wiki/,Wikipedia:Houptsyte
112,kn,https://kn.wikipedia.org/wiki/,ಮುಖ್ಯ_ಪುಟ
113,scn,https://scn.wikipedia.org/wiki/,Pàggina_principali
114,bpy,https://bpy.wikipedia.org/wiki/,পয়লা_পাতা
115,ia,https://ia.wikipedia.org/wiki/,Pagina_principal
116,qu,https://qu.wikipedia.org/wiki/,Qhapaq_p'anqa
117,mn,https://mn.wikipedia.org/wiki/,Нүүр_хуудас
118,si,https://si.wikipedia.org/wiki/,මුල්_පිටුව
119,bat-smg,https://bat-smg.wikipedia.org/wiki/,Pėrms_poslapis
120,nv,https://nv.wikipedia.org/wiki/,Íiyisíí_Naaltsoos
121,xmf,https://xmf.wikipedia.org/wiki/,დუდხასჷლა
122,or,https://or.wikipedia.org/wiki/,ପ୍ରଧାନ_ପୃଷ୍ଠା
123,avk,https://avk.wikipedia.org/wiki/,Xadola
124,cdo,https://cdo.wikipedia.org/wiki/,Tàu_Hiĕk
125,gd,https://gd.wikipedia.org/wiki/,Prìomh-Dhuilleag
126,ilo,https://ilo.wikipedia.org/wiki/,Umuna_a_Panid
127,yi,https://yi.wikipedia.org/wiki/,הויפט_זייט
128,am,https://am.wikipedia.org/wiki/,ዋናው_ገጽ
129,nap,https://nap.wikipedia.org/wiki/,Paggena_prencepale
130,sd,https://sd.wikipedia.org/wiki/,مُک_صفحو
131,bug,https://bug.wikipedia.org/wiki/,Mappadecéŋ
132,frr,https://frr.wikipedia.org/wiki/,Wikipedia:Hoodsid
133,os,https://os.wikipedia.org/wiki/,Сæйраг_фарс
134,hsb,https://hsb.wikipedia.org/wiki/,Hłowna_strona
135,mai,https://mai.wikipedia.org/wiki/,सम्मुख_पन्ना
136,fo,https://fo.wikipedia.org/wiki/,Forsíða
137,map-bms,https://map-bms.wikipedia.org/wiki/,Kaca_Utama
138,li,https://li.wikipedia.org/wiki/,Veurblaad
139,mzn,https://mzn.wikipedia.org/wiki/,گت_صفحه
140,sah,https://sah.wikipedia.org/wiki/,Сүрүн_сирэй
141,eml,https://eml.wikipedia.org/wiki/,PP
142,ace,https://ace.wikipedia.org/wiki/,Ôn_Keuë
143,ps,https://ps.wikipedia.org/wiki/,لومړی_مخ
144,gor,https://gor.wikipedia.org/wiki/,Halaman_Bungaliyo
145,sa,https://sa.wikipedia.org/wiki/,मुख्यपृष्ठम्
146,ha,https://ha.wikipedia.org/wiki/,Babban_shafi
147,bcl,https://bcl.wikipedia.org/wiki/,Panginot_na_Pahina
148,wa,https://wa.wikipedia.org/wiki/,Mwaisse_pådje
149,crh,https://crh.wikipedia.org/wiki/,Baş_Saife
150,zh-classical,https://zh-classical.wikipedia.org/wiki/,維基大典:卷首
151,lij,https://lij.wikipedia.org/wiki/,Pagina_prinçipâ
152,mrj,https://mrj.wikipedia.org/wiki/,Тӹнг_ӹлӹштӓш
153,mhr,https://mhr.wikipedia.org/wiki/,Тӱҥ_лаштык
154,hif,https://hif.wikipedia.org/wiki/,Pahila_Panna
155,zu,https://zu.wikipedia.org/wiki/,Ikhasi_Elikhulu
156,shn,https://shn.wikipedia.org/wiki/,ၼႃႈႁူဝ်ႁႅၵ်ႈ
157,hak,https://hak.wikipedia.org/wiki/,Thèu-Ya̍p
158,roa-tara,https://roa-tara.wikipedia.org/wiki/,Pagene_Prengepále
159,ban,https://ban.wikipedia.org/wiki/,Kaca_Utama
160,as,https://as.wikipedia.org/wiki/,বেটুপাত
161,hyw,https://hyw.wikipedia.org/wiki/,Գլխաւոր_Էջ
162,pam,https://pam.wikipedia.org/wiki/,Pun_Bulung
163,nso,https://nso.wikipedia.org/wiki/,Letlakala_la_pele
164,ie,https://ie.wikipedia.org/wiki/,Principal_págine
165,km,https://km.wikipedia.org/wiki/,ទំព័រដើម
166,rue,https://rue.wikipedia.org/wiki/,Головна_сторінка
167,se,https://se.wikipedia.org/wiki/,Portála:Ovdasiidu
168,bh,https://bh.wikipedia.org/wiki/,मुख्य_पन्ना
169,vls,https://vls.wikipedia.org/wiki/,Voorblad
170,nds-nl,https://nds-nl.wikipedia.org/wiki/,Vöärblad
171,sn,https://sn.wikipedia.org/wiki/,Peji_Rekutanga
172,mi,https://mi.wikipedia.org/wiki/,Hau_Kāinga
173,sc,https://sc.wikipedia.org/wiki/,Pàgina_printzipale
174,nah,https://nah.wikipedia.org/wiki/,Calīxatl
175,vep,https://vep.wikipedia.org/wiki/,Pälehtpol’
176,myv,https://myv.wikipedia.org/wiki/,Прявтлопа
177,gan,https://gan.wikipedia.org/wiki/,封面
178,sat,https://sat.wikipedia.org/wiki/,ᱢᱩᱬᱩᱛ_ᱥᱟᱦᱴᱟ
179,so,https://so.wikipedia.org/wiki/,Bogga_Hore
180,glk,https://glk.wikipedia.org/wiki/,گتˇ_ولگ
